id,Date,Rm Sold,Revenue,ADR,RevPar,Occupancy_Pct,Year,Month,DayOfWeek,DayOfYear,Quarter,created_at
14,2025-01-14 00:00:00,307.0,137489.2,447.84755700325735,405.5728613569322,90.56047197640117,2025,1,1,14,1,2025-08-17 08:40:34
15,2025-01-15 00:00:00,316.0,152318.78,482.0214556962025,449.31793510324485,93.21533923303835,2025,1,2,15,1,2025-08-17 08:40:34
16,2025-01-16 00:00:00,289.0,133292.56999999998,461.2199653979238,393.19342182890847,85.25073746312685,2025,1,3,16,1,2025-08-17 08:40:34
17,2025-01-17 00:00:00,262.0,116838.2,445.9473282442748,344.65545722713864,77.28613569321534,2025,1,4,17,1,2025-08-17 08:40:34
18,2025-01-18 00:00:00,231.0,102217.71,442.50090909090915,301.52716814159294,68.14159292035397,2025,1,5,18,1,2025-08-17 08:40:34
19,2025-01-19 00:00:00,225.0,97275.71,432.33648888888894,286.9489970501475,66.3716814159292,2025,1,6,19,1,2025-08-17 08:40:34
20,2025-01-20 00:00:00,230.0,103349.56,449.3459130434783,304.8659587020649,67.84660766961652,2025,1,0,20,1,2025-08-17 08:40:34
21,2025-01-21 00:00:00,252.0,114543.98999999999,454.53964285714284,337.88787610619465,74.33628318584071,2025,1,1,21,1,2025-08-17 08:40:34
22,2025-01-22 00:00:00,245.0,116377.95999999999,475.012081632653,343.29781710914455,72.27138643067846,2025,1,2,22,1,2025-08-17 08:40:34
23,2025-01-23 00:00:00,225.0,102724.58999999998,456.55373333333324,303.0223893805309,66.3716814159292,2025,1,3,23,1,2025-08-17 08:40:34
24,2025-01-24 00:00:00,232.0,106765.06,460.19422413793103,314.94117994100293,68.43657817109144,2025,1,4,24,1,2025-08-17 08:40:34
25,2025-01-25 00:00:00,221.0,107833.54999999999,487.9346153846153,318.09306784660765,65.19174041297934,2025,1,5,25,1,2025-08-17 08:40:34
26,2025-01-26 00:00:00,289.0,177522.3,614.2640138408304,523.6646017699114,85.25073746312685,2025,1,6,26,1,2025-08-17 08:40:34
27,2025-01-27 00:00:00,332.0,223119.56,672.0468674698795,658.1697935103244,97.93510324483776,2025,1,0,27,1,2025-08-17 08:40:34
28,2025-01-28 00:00:00,322.0,214082.68999999997,664.8530745341614,631.5123598820059,94.98525073746312,2025,1,1,28,1,2025-08-17 08:40:34
29,2025-01-29 00:00:00,305.0,203361.84,666.760131147541,599.8874336283186,89.97050147492625,2025,1,2,29,1,2025-08-17 08:40:34
30,2025-01-30 00:00:00,251.0,165902.43000000002,660.9658565737053,489.3876991150443,74.04129793510324,2025,1,3,30,1,2025-08-17 08:40:34
31,2025-01-31 00:00:00,242.0,122919.76000000001,507.9328925619835,362.5951622418879,71.38643067846607,2025,1,4,31,1,2025-08-17 08:40:34
32,2025-02-01 00:00:00,243.0,113322.01999999999,466.34576131687237,334.2832448377581,71.68141592920354,2025,2,5,32,1,2025-08-17 08:40:34
33,2025-02-02 00:00:00,269.0,125098.77,465.05118959107807,369.02292035398233,79.35103244837758,2025,2,6,33,1,2025-08-17 08:40:34
34,2025-02-03 00:00:00,311.0,151441.08000000002,486.94881028938914,446.72884955752215,91.74041297935102,2025,2,0,34,1,2025-08-17 08:40:34
35,2025-02-04 00:00:00,337.0,163291.40999999997,484.54424332344206,481.6855752212389,99.41002949852508,2025,2,1,35,1,2025-08-17 08:40:34
36,2025-02-05 00:00:00,336.0,169963.22,505.84291666666667,501.3664306784661,99.11504424778761,2025,2,2,36,1,2025-08-17 08:40:34
37,2025-02-06 00:00:00,319.0,159177.79,498.9899373040753,469.55100294985255,94.10029498525073,2025,2,3,37,1,2025-08-17 08:40:34
38,2025-02-07 00:00:00,258.0,126274.22,489.4349612403101,372.4903244837758,76.10619469026548,2025,2,4,38,1,2025-08-17 08:40:34
39,2025-02-08 00:00:00,262.0,127122.56999999999,485.2006488549618,374.99283185840704,77.28613569321534,2025,2,5,39,1,2025-08-17 08:40:34
40,2025-02-09 00:00:00,292.0,143006.44,489.74808219178084,421.84790560471976,86.13569321533923,2025,2,6,40,1,2025-08-17 08:40:34
41,2025-02-10 00:00:00,333.0,161533.94999999998,485.08693693693687,476.50132743362826,98.23008849557522,2025,2,0,41,1,2025-08-17 08:40:34
42,2025-02-11 00:00:00,314.0,161240.48999999996,513.5047452229298,475.63566371681407,92.62536873156341,2025,2,1,42,1,2025-08-17 08:40:34
43,2025-02-12 00:00:00,322.0,169482.67,526.343695652174,499.94887905604725,94.98525073746312,2025,2,2,43,1,2025-08-17 08:40:34
44,2025-02-13 00:00:00,293.0,153892.9,525.2317406143344,453.96135693215336,86.4306784660767,2025,2,3,44,1,2025-08-17 08:40:34
45,2025-02-14 00:00:00,278.0,146489.74000000002,526.941510791367,432.1231268436579,82.00589970501476,2025,2,4,45,1,2025-08-17 08:40:34
46,2025-02-15 00:00:00,269.0,151015.71,561.396691449814,445.4740707964601,79.35103244837758,2025,2,5,46,1,2025-08-17 08:40:34
47,2025-02-16 00:00:00,297.0,202947.75999999995,683.325791245791,598.6659587020647,87.61061946902655,2025,2,6,47,1,2025-08-17 08:40:34
48,2025-02-17 00:00:00,330.0,288666.14,874.7458787878788,851.5225368731564,97.34513274336283,2025,2,0,48,1,2025-08-17 08:40:34
49,2025-02-18 00:00:00,337.0,299373.97,888.350059347181,883.1090560471976,99.41002949852508,2025,2,1,49,1,2025-08-17 08:40:34
50,2025-02-19 00:00:00,339.0,314155.19,926.7114749262537,926.7114749262537,100.0,2025,2,2,50,1,2025-08-17 08:40:34
51,2025-02-20 00:00:00,339.0,336356.15,992.2010324483776,992.2010324483776,100.0,2025,2,3,51,1,2025-08-17 08:40:34
52,2025-02-21 00:00:00,337.0,270424.14,802.4455192878339,797.7113274336284,99.41002949852508,2025,2,4,52,1,2025-08-17 08:40:34
53,2025-02-22 00:00:00,329.0,226989.98999999996,689.9391793313068,669.5869911504424,97.05014749262537,2025,2,5,53,1,2025-08-17 08:40:34
54,2025-02-23 00:00:00,333.0,224079.06999999998,672.91012012012,661.0002064896754,98.23008849557522,2025,2,6,54,1,2025-08-17 08:40:34
55,2025-02-24 00:00:00,339.0,220193.05,649.5370206489675,649.5370206489675,100.0,2025,2,0,55,1,2025-08-17 08:40:34
56,2025-02-25 00:00:00,333.0,215153.43000000002,646.1063963963965,634.6708849557523,98.23008849557522,2025,2,1,56,1,2025-08-17 08:40:34
57,2025-02-26 00:00:00,317.0,186041.84999999998,586.8828075709779,548.7960176991149,93.5103244837758,2025,2,2,57,1,2025-08-17 08:40:34
58,2025-02-27 00:00:00,309.0,168738.97,546.0808090614887,497.7550737463127,91.1504424778761,2025,2,3,58,1,2025-08-17 08:40:34
59,2025-02-28 00:00:00,233.0,115027.05999999998,493.6783690987124,339.3128613569321,68.73156342182891,2025,2,4,59,1,2025-08-17 08:40:34
60,2025-03-01 00:00:00,192.0,80161.4,417.5072916666666,236.46430678466075,56.63716814159292,2025,3,5,60,1,2025-08-17 08:40:34
61,2025-03-02 00:00:00,182.0,72415.24,397.8859340659341,213.61427728613572,53.687315634218294,2025,3,6,61,1,2025-08-17 08:40:34
62,2025-03-03 00:00:00,173.0,67041.99,387.52595375722547,197.76398230088498,51.03244837758112,2025,3,0,62,1,2025-08-17 08:40:34
63,2025-03-04 00:00:00,169.0,63794.5,377.4822485207101,188.1843657817109,49.852507374631266,2025,3,1,63,1,2025-08-17 08:40:34
64,2025-03-05 00:00:00,152.0,57318.459999999985,377.09513157894725,169.08100294985246,44.83775811209439,2025,3,2,64,1,2025-08-17 08:40:34
65,2025-03-06 00:00:00,144.0,53386.85999999999,370.7420833333333,157.4833628318584,42.47787610619469,2025,3,3,65,1,2025-08-17 08:40:34
66,2025-03-07 00:00:00,128.0,48576.520000000004,379.50406250000003,143.29356932153394,37.75811209439528,2025,3,4,66,1,2025-08-17 08:40:34
67,2025-03-08 00:00:00,141.0,51963.65,368.53652482269507,153.28510324483776,41.5929203539823,2025,3,5,67,1,2025-08-17 08:40:34
68,2025-03-09 00:00:00,121.0,44186.73,365.17958677685954,130.34433628318584,35.693215339233035,2025,3,6,68,1,2025-08-17 08:40:34
69,2025-03-10 00:00:00,139.0,51158.579999999994,368.0473381294964,150.91026548672565,41.00294985250738,2025,3,0,69,1,2025-08-17 08:40:34
70,2025-03-11 00:00:00,160.0,58393.45,364.95906249999996,172.25206489675514,47.1976401179941,2025,3,1,70,1,2025-08-17 08:40:34
71,2025-03-12 00:00:00,151.0,53809.19,356.3522516556292,158.72917404129794,44.54277286135693,2025,3,2,71,1,2025-08-17 08:40:34
72,2025-03-13 00:00:00,143.0,51027.94999999999,356.8388111888111,150.52492625368728,42.18289085545723,2025,3,3,72,1,2025-08-17 08:40:34
73,2025-03-14 00:00:00,154.0,54034.5,350.8733766233766,159.39380530973452,45.42772861356932,2025,3,4,73,1,2025-08-17 08:40:34
74,2025-03-15 00:00:00,165.0,59801.17,362.4313333333333,176.40463126843656,48.67256637168141,2025,3,5,74,1,2025-08-17 08:40:34
75,2025-03-16 00:00:00,147.0,53223.79,362.0665986394558,157.00233038348082,43.36283185840708,2025,3,6,75,1,2025-08-17 08:40:34
76,2025-03-17 00:00:00,161.0,58254.14,361.82695652173913,171.8411209439528,47.49262536873156,2025,3,0,76,1,2025-08-17 08:40:34
77,2025-03-18 00:00:00,146.0,51958.94,355.88315068493154,153.27120943952804,43.067846607669615,2025,3,1,77,1,2025-08-17 08:40:34
78,2025-03-19 00:00:00,144.0,52803.130000000005,366.6884027777778,155.76144542772863,42.47787610619469,2025,3,2,78,1,2025-08-17 08:40:34
79,2025-03-20 00:00:00,154.0,59082.43000000001,383.6521428571429,174.28445427728616,45.42772861356932,2025,3,3,79,1,2025-08-17 08:40:34
80,2025-03-21 00:00:00,145.0,55854.94,385.2064827586207,164.7638348082596,42.772861356932154,2025,3,4,80,1,2025-08-17 08:40:34
81,2025-03-22 00:00:00,139.0,52083.22000000001,374.6994244604317,153.63781710914458,41.00294985250738,2025,3,5,81,1,2025-08-17 08:40:34
82,2025-03-23 00:00:00,145.0,52828.64000000001,364.3354482758621,155.83669616519177,42.772861356932154,2025,3,6,82,1,2025-08-17 08:40:34
83,2025-03-24 00:00:00,146.0,55638.259999999995,381.08397260273966,164.12466076696163,43.067846607669615,2025,3,0,83,1,2025-08-17 08:40:34
84,2025-03-25 00:00:00,151.0,58812.420000000006,389.4862251655629,173.48796460176993,44.54277286135693,2025,3,1,84,1,2025-08-17 08:40:34
85,2025-03-26 00:00:00,150.0,58799.939999999995,391.9996,173.45115044247785,44.24778761061947,2025,3,2,85,1,2025-08-17 08:40:34
86,2025-03-27 00:00:00,152.0,60006.52,394.77973684210525,177.01038348082594,44.83775811209439,2025,3,3,86,1,2025-08-17 08:40:34
87,2025-03-28 00:00:00,154.0,63972.560000000005,415.4062337662338,188.70961651917406,45.42772861356932,2025,3,4,87,1,2025-08-17 08:40:34
88,2025-03-29 00:00:00,176.0,77166.20999999999,438.444375,227.62893805309733,51.91740412979351,2025,3,5,88,1,2025-08-17 08:40:34
89,2025-03-30 00:00:00,225.0,112530.96,500.1376,331.94973451327434,66.3716814159292,2025,3,6,89,1,2025-08-17 08:40:34
90,2025-03-31 00:00:00,304.0,171064.88999999998,562.7134539473684,504.61619469026544,89.67551622418878,2025,3,0,90,1,2025-08-17 08:40:34
91,2025-04-01 00:00:00,310.0,175220.09,565.2260967741936,516.8734218289086,91.44542772861357,2025,4,1,91,2,2025-08-17 08:40:34
92,2025-04-02 00:00:00,320.0,181416.22,566.9256875,535.1510914454277,94.3952802359882,2025,4,2,92,2,2025-08-17 08:40:34
93,2025-04-03 00:00:00,327.0,182969.16,559.5387155963302,539.7320353982301,96.46017699115043,2025,4,3,93,2,2025-08-17 08:40:34
94,2025-04-04 00:00:00,284.0,145365.81000000003,511.8514436619719,428.80769911504433,83.77581120943954,2025,4,4,94,2,2025-08-17 08:40:34
95,2025-04-05 00:00:00,258.0,124808.85000000002,483.7552325581396,368.1676991150443,76.10619469026548,2025,4,5,95,2,2025-08-17 08:40:34
96,2025-04-06 00:00:00,253.0,120693.40000000001,477.04901185770757,356.02772861356937,74.63126843657817,2025,4,6,96,2,2025-08-17 08:40:34
97,2025-04-07 00:00:00,313.0,164635.44999999998,525.9918530351437,485.6502949852507,92.33038348082596,2025,4,0,97,2,2025-08-17 08:40:34
98,2025-04-08 00:00:00,324.0,173858.3,536.5996913580246,512.8563421828908,95.57522123893806,2025,4,1,98,2,2025-08-17 08:40:34
99,2025-04-09 00:00:00,327.0,178203.06000000003,544.9634862385321,525.672743362832,96.46017699115043,2025,4,2,99,2,2025-08-17 08:40:34
100,2025-04-10 00:00:00,310.0,163866.12000000002,528.6003870967743,483.38088495575226,91.44542772861357,2025,4,3,100,2,2025-08-17 08:40:34
101,2025-04-11 00:00:00,330.0,173923.99000000002,527.042393939394,513.0501179941003,97.34513274336283,2025,4,4,101,2,2025-08-17 08:40:34
