,Seasonal_Recovery,Enhanced_Prophet,ML_Trend_Corrected,Historical_Seasonal_Avg,Corrected_Ensemble
2025-08-18,37.87450711062232,39.298904347003536,23.75520965023179,38.36,34.89177106719588
2025-08-19,38.69179739875684,38.58029542918028,23.781410076321595,38.36,34.89199513892056
2025-08-20,36.88823333957265,37.613684237108586,23.787125415554634,38.36,34.014040838748464
2025-08-21,39.278856065719154,39.98358051478865,23.79634370464018,38.36,35.562995926051826
2025-08-22,40.756765025142876,35.75299121877033,23.75963442899285,38.36,34.516485041360696
2025-08-23,36.4784359702962,37.934964133697044,23.75963442899285,38.36,33.99667684513105
2025-08-24,37.03607312182522,37.92630706822992,23.758159502739158,38.36,34.16056928611283
2025-08-25,36.31416144928244,36.15034727715155,23.75520965023179,38.36,33.321672394345725
2025-08-26,41.683467876749994,40.913426906699996,23.781410076321595,38.36,36.6060922994504
2025-08-27,40.119587601373475,35.546574767137024,23.787125415554634,38.36,34.259958802798664
2025-08-28,37.06590599427171,38.03503130749459,23.79634370464018,38.36,34.21711868206467
2025-08-29,39.8649110123684,40.24623285736588,23.75963442899285,38.36,35.8215634110368
2025-08-30,36.7490947112213,38.84397616875994,23.75963442899285,38.36,34.39602867968058
2025-08-31,38.801314076337505,34.89014246747992,23.758159502739158,38.36,33.627483962204025
2025-09-01,50.75325893525882,50.354756932085465,23.75520965023179,48.29,43.617945019365514
2025-09-02,51.08147249838747,45.067990466655765,23.781410076321595,48.29,41.87259093192616
2025-09-03,50.204714775835306,49.01695731391754,23.787125415554634,48.29,42.9931308465104
2025-09-04,51.04340085811983,45.63657400569846,23.79634370464018,48.29,42.06390708559046
2025-09-05,42.240341568977826,43.168726944101905,23.75963442899285,48.29,38.55006550837724
2025-09-06,55.07686000636903,47.37076672513073,23.75963442899285,48.29,43.87173496295468
2025-09-07,43.40453782595063,43.90331625380004,23.758159502739158,48.29,39.1560619123
2025-09-08,50.81927372002875,45.81895341473994,23.75520965023179,48.29,42.05021822372555
2025-09-09,44.00000432126326,35.86849058548856,23.781410076321595,48.29,36.528325520380385
2025-09-10,60.30895946030908,46.86547577911263,23.787125415554634,48.29,45.271385714670814
2025-09-11,44.49463500749241,39.04391009566564,23.79634370464018,48.29,37.791844961890746
2025-09-12,47.98890460547739,51.27007041623843,23.75963442899285,48.29,43.11010463457489
2025-09-13,43.193659000803464,46.78455587178827,23.75963442899285,48.29,40.10160086261516
2025-09-14,42.2418621364093,47.85242595598413,23.758159502739158,48.29,40.18944760120203
2025-09-15,45.970564052788866,46.86240821381129,23.75520965023179,48.29,40.96081450322857
